2020-07-21 08:59:03.704 | DEBUG    | database:buyHint:300 - Trying to buy hint for challenge_id 5 and user notfie#4785
2020-07-21 08:59:03.711 | DEBUG    | database:buyHint:300 - Trying to buy hint for challenge_id 2 and user Combaticus#8292
2020-07-21 08:59:03.717 | DEBUG    | database:createSolve:413 - Combaticus#8292 is solving for FLAG{asdf}; part of challenge challenge 1.
2020-07-21 08:59:03.726 | DEBUG    | database:createSolve:493 - byoc reward of 25.0 sent to shyft#0760: Combaticus#8292 of secondteam submitted FLAG{asdf}
2020-07-21 08:59:03.730 | DEBUG    | database:createSolve:507 - Combaticus#8292 solved FLAG{asdf}
2020-07-21 08:59:03.731 | DEBUG    | database:createSolve:413 - 0xDrMalloc#4492 is solving for FLAG{asdf}; part of challenge challenge 1.
2020-07-21 08:59:03.737 | DEBUG    | database:createSolve:493 - byoc reward of 25.0 sent to shyft#0760: 0xDrMalloc#4492 of thirdteam submitted FLAG{asdf}
2020-07-21 08:59:03.742 | DEBUG    | database:createSolve:507 - 0xDrMalloc#4492 solved FLAG{asdf}
2020-07-21 08:59:03.743 | DEBUG    | database:createSolve:413 - notfie#4785 is solving for FLAG{asdf}; part of challenge challenge 1.
2020-07-21 08:59:03.745 | DEBUG    | database:createSolve:433 - notfie#4785 is trying to submit their own flag or a flag authored teammate. (flag by shyft#0760) OR is a part of a challenge authored by someone on the team. (chall by shyft#0760)
2020-07-21 08:59:03.746 | DEBUG    | database:createSolve:413 - shyft#0760 is solving for FLAG{asdf}; part of challenge challenge 1.
2020-07-21 08:59:03.747 | DEBUG    | database:createSolve:433 - shyft#0760 is trying to submit their own flag or a flag authored teammate. (flag by shyft#0760) OR is a part of a challenge authored by someone on the team. (chall by shyft#0760)
2020-07-21 08:59:03.747 | DEBUG    | database:createSolve:413 - Combaticus#8292 is solving for FLAG{asdf}; part of challenge challenge 1.
2020-07-21 08:59:03.748 | DEBUG    | database:createSolve:427 - FLAG{asdf} already submitted by Combaticus#8292
2020-07-21 08:59:03.749 | DEBUG    | database:createSolve:413 - Combaticus#8292 is solving for FLAG{ASDF}; part of challenge challenge 1.
2020-07-21 08:59:03.753 | DEBUG    | database:createSolve:493 - byoc reward of 50.0 sent to shyft#0760: Combaticus#8292 of secondteam submitted FLAG{ASDF}
2020-07-21 08:59:03.757 | DEBUG    | database:createSolve:507 - Combaticus#8292 solved FLAG{ASDF}
2020-07-21 08:59:03.759 | DEBUG    | database:createSolve:413 - shyft#0760 is solving for FLAG{qwer}; part of challenge challenge 2.
2020-07-21 08:59:03.760 | DEBUG    | database:createSolve:433 - shyft#0760 is trying to submit their own flag or a flag authored teammate. (flag by notfie#4785) OR is a part of a challenge authored by someone on the team. (chall by notfie#4785)
2020-07-21 08:59:03.761 | DEBUG    | database:createSolve:413 - notfie#4785 is solving for FLAG{zxcv}; part of challenge __bonus__.
2020-07-21 08:59:03.765 | DEBUG    | database:createSolve:493 - byoc reward of 75.0 sent to Combaticus#8292: notfie#4785 of bestteam submitted FLAG{zxcv}
2020-07-21 08:59:03.767 | DEBUG    | database:createSolve:507 - notfie#4785 solved FLAG{zxcv}
2020-07-21 08:59:03.768 | DEBUG    | database:createSolve:413 - shyft#0760 is solving for FLAG{jkl}; part of challenge challenge 6.
2020-07-21 08:59:03.770 | DEBUG    | database:createSolve:433 - shyft#0760 is trying to submit their own flag or a flag authored teammate. (flag by shyft#0760) OR is a part of a challenge authored by someone on the team. (chall by shyft#0760)
2020-07-21 08:59:03.771 | DEBUG    | database:createSolve:413 - notfie#4785 is solving for FLAG{jkl}; part of challenge challenge 6.
2020-07-21 08:59:03.773 | DEBUG    | database:createSolve:433 - notfie#4785 is trying to submit their own flag or a flag authored teammate. (flag by shyft#0760) OR is a part of a challenge authored by someone on the team. (chall by shyft#0760)
2020-07-21 08:59:03.774 | DEBUG    | database:createSolve:413 - AyKay#3420 is solving for FLAG{asdf}; part of challenge challenge 1.
2020-07-21 08:59:03.780 | DEBUG    | database:createSolve:493 - byoc reward of 25.0 sent to shyft#0760: AyKay#3420 of fourthteam submitted FLAG{asdf}
